State,St,StCD,Pop16+09,LF09,CLF09,Emp09,UnEmp09,Mil09,NILF09,UERate09,Pop16+10,LF10,CLF10,Emp10,UnEmp10,Mil10,NILF10,UERate10,Chg UR 09-10,Chg Emp 09-10
Alabama,AL,101,"536,130","327,643","325,851","288,863","36,988","1,792","208,487",11.4,"543,528","319,790","318,353","277,703","40,650","1,437","223,738",12.8,1.4,"-11,160"
Alabama,AL,102,"514,388","305,969","296,385","265,803","30,582","9,584","208,419",10.3,"525,568","317,521","311,533","282,675","28,858","5,988","208,047",9.3,-1,"16,872"
Alabama,AL,103,"528,167","314,691","310,727","268,010","42,717","3,964","213,476",13.7,"549,542","313,847","310,896","267,557","43,339","2,951","235,695",13.9,0.2,-453
Alabama,AL,104,"514,648","298,104","297,469","264,290","33,179",635,"216,544",11.2,"520,938","291,294","290,396","251,913","38,483",898,"229,644",13.3,2.1,"-12,377"
Alabama,AL,105,"556,193","353,765","347,276","309,812","37,464","6,489","202,428",10.8,"569,402","358,749","355,781","315,922","39,859","2,968","210,653",11.2,0.4,"6,110"
Alabama,AL,106,"579,233","380,456","379,494","350,449","29,045",962,"198,777",7.7,"589,205","380,560","379,861","346,844","33,017",699,"208,645",8.7,1,"-3,605"
Alabama,AL,107,"480,015","276,818","276,368","238,807","37,561",450,"203,197",13.6,"487,372","277,705","277,388","236,211","41,177",317,"209,667",14.8,1.2,"-2,596"
Alaska,AK,200,"536,007","382,729","368,338","333,464","34,874","14,391","153,278",9.5,"546,981","391,864","373,703","337,683","36,020","18,161","155,117",9.6,0.1,"4,219"
Arizona,AZ,401,"597,916","322,373","321,564","281,669","39,895",809,"275,543",12.4,"612,563","312,934","312,508","269,607","42,901",426,"299,629",13.7,1.3,"-12,062"
Arizona,AZ,402,"740,502","441,559","437,902","390,104","47,798","3,657","298,943",10.9,"763,916","446,409","442,819","387,340","55,479","3,590","317,507",12.5,1.6,"-2,764"
Arizona,AZ,403,"586,902","408,741","408,549","368,352","40,197",192,"178,161",9.8,"546,332","370,543","369,827","335,396","34,431",716,"175,789",9.3,-0.5,"-32,956"
Arizona,AZ,404,"531,561","330,071","329,597","283,612","45,985",474,"201,490",14,"504,026","301,484","301,306","257,362","43,944",178,"202,542",14.6,0.6,"-26,250"
Arizona,AZ,405,"593,340","407,500","406,749","372,931","33,818",751,"185,840",8.3,"544,022","366,672","366,417","330,490","35,927",255,"177,350",9.8,1.5,"-42,441"
Arizona,AZ,406,"718,052","480,749","480,210","433,397","46,813",539,"237,303",9.7,"732,726","477,910","477,253","424,944","52,309",657,"254,816",11,1.3,"-8,453"
