Installation Name,Location ,Latitude,Longitude,Auths
Al Dhafra Air Base,United Arab Emirates,24.24806, 54.5475 ,67
Al Udeid Air Base,Qatar,25.11722, 51.31472 ,222
Ali Al Salem Air Base,Kuwait,29.34667, 47.52056 ,18
Arnold Air Force Base,"Tullahoma, Tennessee",35.3925, -86.08583 ,unknown
Atlantic City Air National Guard Base,"Atlantic City, New Jersey",39.44806, -74.58167 ,1368
Aviano Air Base,Italy,46.03139, 12.59694 ,75
Bagram Airfield,Afghanistan,34.94611, 69.265 ,unknown
Bangor Air National Guard Base,"Bangor, Maine",44.81417, -68.83083 ,1109
Barksdale Air Force Base,"Bossier City, Louisiana",32.50194, -93.66278 ,966
Barnes Air National Guard Base,"Westfield, Massachusetts",42.16556, -72.72056 ,1223
Beale Air Force Base,"Marysville, California",39.13611, -121.43639 ,4926
Beightler Armory,"Columbus, Ohio",40.08833, -83.06694 ,unknown
Berry Field Air National Guard Base,"Nashville, Tennessee",36.12667, -86.68194 ,unknown
Birmingham Air National Guard Base,"Birmingham, Alabama",33.56389, -86.75222 ,134
Bradley Air National Guard Base,"Windsor Locks, Connecticut",41.93889, -72.683333 ,46
Brooks City-Base,"San Antonio, Texas",29.34166783, -98.435182833 ,41
Buckley Air Force Base,"Aurora, Colorado",39.70167, -104.75167 ,3140
Burlington Air National Guard Base,"Burlington, Vermont",44.47278, -73.14667 ,1233
Camp Mabry,"Austin, Texas",30.31778, -97.76056 ,2
Cannon Air Force Base,"Clovis, New Mexico",34.38278, -103.32222 ,4701
Capital Airport Air National Guard Station,"Springfield, Illinois",39.84417, -89.67806 ,unknown
Cavalier Air Force Station,"Mountain, North Dakota",48.73194, -97.90444 ,118
Channel Islands Air National Guard Station,"Oxnard, California",34.115, -119.11028 ,1212
Charleston Air National Guard Base,"Charleston, West Virginia",38.37306, -81.59306 ,6953
Charlotte Air National Guard Base,"Charlotte, North Carolina",35.21611, -80.93194 ,1256
Cheyenne Air National Guard Base,"Cheyenne, Wyoming",41.16139, -104.81944 ,1992
Clear Air Force Station,"Denali Borough, Alaska",64.29056, -149.18694 ,350
Columbus Air Force Base,"Columbus, Mississippi",33.64389, -88.44389 ,unknown
Creech Air Force Base,"Indian Springs, Nevada",36.58722, -115.67333 ,3208
Davis–Monthan Air Force Base,"Tucson, AZ",32.16639, -110.88306 ,7772
Des Moines Air National Guard Base,"Des Moines, Iowa",41.53833, -93.65944 ,1
Dobbins Air Reserve Base,"Marietta, Georgia",33.91528, -84.51639 ,1640
Dover Air Force Base,"Dover, Delaware",39.12833, -75.46472 ,5986
Duke Field,"Crestview, Florida",30.65028, -86.52278 ,1190
Duluth Air National Guard Base,"Duluth, Minnesota",46.84222, -92.19361 ,1153
Dyess Air Force Base,"Abilene, Texas",32.42083, -99.85472 ,5480
Edwards Air Force Base,"Edwards, California",34.90556, -117.88361 ,291
Eglin Air Force Base,"Valparaiso, Florida",30.483, -86.533 ,1731
Eielson Air Force Base,"Fairbanks, Alaska",64.66556, -147.10139 ,3
Ellington Field Joint Reserve Base,"Houston, Texas",29.60722, -95.15889 ,1215
Ellsworth Air Force Base,"Box Elder, South Dakota",44.145, -103.10361 ,3940
Fairchild Air Force Base,"Spokane, Washington",47.615, -117.65556 ,3289
Fargo Air National Guard Base,"Fargo, North Dakota",46.92056, -96.81583 ,unknown
Forbes Field Air National Guard Base,"Topeka, Kansas",38.95111, -95.66583 ,1166
Fort Smith Air National Guard Station,"Fort Smith, Arkansas",35.33667, -94.3675 ,1203
Fort Wayne Air National Guard Station,"Fort Wayne, Indiana",40.97833, -85.195 ,1156
Francis E. Warren Air Force Base,"Cheyenne, Wyoming",41.13306, -104.86694 ,10
Francis S. Gabreski Air National Guard Base,"Westhampton Beach, New York",40.83694, -72.64222 ,1208
Fresno Air National Guard Base,"Fresno, California",36.77611, -119.73056 ,1224
Garland Air National Guard Station,"Dallas, Texas",32.90528, -96.64111 ,171
General Mitchell Air National Guard Base,"Milwaukee, Wisconsin",42.94722, -87.89667 ,1098
Goodfellow Air Force Base,"San Angelo, Texas",31.429631, -100.399039833 ,unknown
Gowen Field Air National Guard Base,"Boise, Idaho",43.56444, -116.22278 ,unknown
Grand Forks Air Force Base,"Grand Forks, North Dakota",47.96111, -97.40111 ,1922
Great Falls Air National Guard Base,"Great Falls, Montana",47.482, -111.3706833 ,1118
Grissom Joint Air Reserve Base,"Kokomo, Indiana",40.64806, -86.15222 ,1986
Hancock Field Air National Guard Base,"Syracuse, New York",43.11139, -76.12361 ,1121
Hanscom Air Force Base,"Lincoln, Massachusetts",42.47, -71.28917 ,1
Harrisburg Air National Guard Base,"Middletown, Pennsylvania",40.19361, -76.76333 ,1082
